company,sector,year,gender_diversity_pct,employee_satisfaction,community_investment_pct,health_safety_incidents,training_hours_per_employee,supply_chain_human_rights_score
Acme Corp,Technology,2023,38.5,4.2,1.8,3.2,45.8,78.5
TechGiant,Technology,2023,42.3,4.5,2.1,2.5,48.6,82.3
DataSystems,Technology,2023,35.7,3.9,1.5,3.5,42.5,75.8
CloudNet,Technology,2023,40.1,4.3,1.9,2.8,47.2,80.1
MicroTech,Technology,2023,33.5,3.7,1.2,3.8,40.6,73.5
GlobalSoft,Technology,2023,45.6,4.6,2.3,2.1,50.3,85.2
EcoPower,Energy,2023,32.5,4.1,2.5,5.2,38.5,76.8
FossilEnergy,Energy,2023,25.3,3.5,1.2,8.5,32.6,65.4
WindStream,Energy,2023,38.7,4.4,2.8,3.5,42.7,82.5
SolarPeak,Energy,2023,40.5,4.6,3.0,3.1,45.6,85.3
OilGiant,Energy,2023,22.8,3.3,1.0,9.2,30.5,62.8
GreenFuels,Energy,2023,35.6,4.2,2.6,4.5,40.2,78.9
ConstructCo,Construction,2023,28.5,3.7,1.5,7.8,35.6,68.5
BuildRight,Construction,2023,30.2,3.8,1.6,7.2,36.8,70.2
EcoStructures,Construction,2023,35.8,4.1,2.0,5.5,42.3,75.8
SolidFoundations,Construction,2023,26.7,3.6,1.3,8.3,33.5,66.7
UrbanDevelopment,Construction,2023,32.4,3.9,1.8,6.5,38.9,72.4
GreenBuilders,Construction,2023,38.5,4.2,2.2,4.8,44.5,78.5
PharmaPlus,Healthcare,2023,45.8,4.3,2.8,2.6,52.3,83.5
MediCorp,Healthcare,2023,48.2,4.1,2.5,2.8,50.5,81.3
BioSolutions,Healthcare,2023,50.5,4.4,3.0,2.3,54.2,85.6
HealthTech,Healthcare,2023,47.6,4.2,2.7,2.5,51.8,82.7
CureAll,Healthcare,2023,46.3,4.0,2.4,3.0,49.5,80.2
GenomicsLab,Healthcare,2023,52.7,4.5,3.2,2.1,55.7,86.9
CementWorld,Materials,2023,25.3,3.5,1.2,9.5,30.2,64.5
SteelWorks,Materials,2023,27.8,3.6,1.4,8.7,32.5,66.8
GlassIndustries,Materials,2023,31.5,3.8,1.7,7.2,36.3,70.5
PaperMill,Materials,2023,33.2,3.9,1.8,6.5,38.2,72.3
ChemicalSolutions,Materials,2023,28.5,3.7,1.5,8.3,33.5,67.8
RecycledMaterials,Materials,2023,38.7,4.2,2.3,5.1,43.8,77.5